Date,SPY,QQQ,AGG,GLD
4/22/2026,0.01012669,0.016730557,0.00140746,0.013245804
4/21/2026,-0.008533529,-0.003803398,-0.003705929,-0.036687372
4/20/2026,0,-0.003174848,-0.00010015,0
4/17/2026,0.012085626,0.013084141,0.003719341,0.013293038
4/16/2026,0.002457353,0.004816442,-0.00140534,-0.000862734
4/15/2026,0.007891023,0.013999364,-0.001603528,-0.010402391
4/14/2026,0.012184813,0.018157081,0.00261254,0.02234932
4/13/2026,0.009772466,0.010342514,0.002013693,-0.004049139
4/10/2026,-0.000661852,0.001442174,-0.001708714,-0.001781188
4/9/2026,0.005769145,0.006764672,0.00060344,0.007778519
4/8/2026,0.025469494,0.029732072,0.002621761,0.006299067
4/7/2026,0.000440107,0.000152931,0.001211509,0.009727581
4/6/2026,0.004726835,0.0060173,-0.001813968,-0.004098647
4/2/2026,0.000900433,0.001146652,0.002323232,-0.019208807
4/1/2026,0.00753452,0.012353165,-0.002719855,0.017499826
3/31/2026,0.029067835,0.03385398,0.002322294,0.037893772
3/30/2026,-0.003343374,-0.007643357,0.005074082,-0.000289366
3/27/2026,-0.017051884,-0.019536764,-0.000101471,0.03509385
3/26/2026,-0.017858774,-0.023867851,-0.005650288,-0.037593985
3/25/2026,0.005572736,0.006575568,0.003543945,0.030089328
3/24/2026,-0.003356831,-0.006836735,-0.002726447,0.00022275
3/23/2026,0.010500023,0.010205133,0.003750253,-0.022594223
3/20/2026,-0.017020309,-0.01848167,-0.008342547,-0.030557445
3/19/2026,-0.002464358,-0.003160195,0.001106863,-0.041215092
3/18/2026,-0.013953696,-0.013939766,-0.004208417,-0.031637163
3/17/2026,0.002630674,0.004880243,0.002008032,-0.002519384
3/16/2026,0.010176811,0.011217409,0.003931055,-0.00088968
3/13/2026,-0.005660151,-0.005927067,-0.000805721,-0.012936943
3/12/2026,-0.015184895,-0.017163356,-0.003712623,-0.019653956
3/11/2026,-0.001255205,-0.000131629,-0.004495055,-0.003390114
3/10/2026,-0.00160703,1.64539E-05,-0.003285544,0.011279707
3/9/2026,0.008759927,0.013355565,0.003196165,-0.00206965
3/6/2026,-0.013107102,-0.015043274,-0.001197127,0.015832493
3/5/2026,-0.005575584,-0.003012689,-0.002884711,-0.012017804
3/4/2026,0.0070554,0.015243193,-0.000397733,0.007818174
3/3/2026,-0.008814359,-0.010705652,-0.001092571,-0.044612245
3/2/2026,0.000568521,0.001317328,-0.007100592,0.012919897
2/27/2026,-0.004801973,-0.003200709,0.001976285,0.01313144
2/26/2026,-0.005554353,-0.012064604,0.001583531,0.008575895
2/25/2026,0.008438205,0.01449323,-0.000494609,-0.002507322
2/24/2026,0.007268571,0.010741424,-9.8912E-05,-0.013858876
2/23/2026,-0.010211334,-0.012154859,0.001982161,0.027015492
2/20/2026,0.007231767,0.008848824,0.000198255,0.01971451
2/19/2026,-0.002637369,-0.00382971,0.000198295,0.002793052
2/18/2026,0.00503771,0.007467154,-0.001386139,0.02248996
2/17/2026,0.001613495,-0.001030037,9.90197E-05,-0.031170291
2/13/2026,0.000704566,0.00213106,0.003178703,0.024878708
2/12/2026,-0.01544887,-0.020338928,0.004490122,-0.034728311
2/11/2026,-0.000231174,0.002682061,-0.002289696,0.011310554
2/10/2026,-0.002637078,-0.004639276,0.002895367,-0.00991371
2/9/2026,0.004821754,0.007660133,0.000299611,0.025402889
2/6/2026,0.019184794,0.021137966,0.00059958,0.030732326
2/5/2026,-0.012489252,-0.014395378,0.004315536,-0.026631716
2/4/2026,-0.004843879,-0.01746902,-0.000601805,-0.000704396
2/3/2026,-0.008455444,-0.015363976,0.000100311,0.063587198
2/2/2026,0.004971314,0.006866387,-0.004394287,-0.040049444
1/30/2026,-0.002982537,-0.012010867,-0.0001997,-0.102742488
1/29/2026,-0.001984412,-0.005985282,0,0.002709479
1/28/2026,-0.000100648,0.003311521,-0.000399241,0.038773367
1/27/2026,0.003984236,0.009065328,-0.000698185,0.024531956
1/26/2026,0.005078131,0.004400051,0.001498352,0.014628821
1/23/2026,0.000362855,0.00315742,0.00089982,0.013745324
1/22/2026,0.005223227,0.007269423,0.0002,0.018462579
1/21/2026,0.011541073,0.013518403,0.003310926,0.014568991
1/20/2026,-0.020356823,-0.021247143,-0.003798101,0.03783617
1/16/2026,-0.00083786,-0.000836309,-0.001696268,-0.004818936
1/15/2026,0.002723217,0.003599387,-0.001295466,-0.006127624
1/14/2026,-0.004915174,-0.010682805,0.001497006,0.010222233
1/13/2026,-0.00199954,-0.001482852,0.000899011,-0.001421026
1/12/2026,0.001570447,0.000829809,-0.000499201,0.018722706
1/9/2026,0.006613392,0.009960191,0.002201321,0.007241974
1/8/2026,-0.000101511,-0.00568892,-0.001797843,0.005522567
1/7/2026,-0.003223428,0.000962433,0.0009998,-0.009559998
1/6/2026,0.005947188,0.00878655,-0.00019992,0.010813191
1/5/2026,0.006660129,0.00794298,0.001902854,0.026313147
1/2/2026,0.00183306,-0.001937133,-0.00030036,0.004970856
12/31/2025,-0.007408917,-0.008265664,-0.002397123,-0.006467949
12/30/2025,-0.001221196,-0.002319326,-0.000399361,0.000727546
